,id,Author,Title,Jounral,Year,StudyName,exclude,SamplingStrategy,SampleSource,YearsStudied,TargetTest,SubfieldClassification,PowerEstimationTechnique,AmalgomationMethod,DistinguishedStatisticalTestsAppropriatly,NumberOfArticles,NumberOfTests,EffectSizeUsed,SmallEffectBenchmark,MediumEffectBenchmark,LargeEffectBenchmark,PowerAtSmallEffectMedian,FirstQuartilePowerAtSmall,ThirdQuartilePowerAtSmall,PowerAtMediumEffectMedian,FirstQuartilePowerAtMedium,ThirdQuartilePowerAtMedium,PowerAtLargeEffectMedian,FirstQuartilePowerAtLarge,ThirdQuartilePowerAtLarge,PowerAtSmallEffectMean,PowerAtMediumEffectMean,PowerAtLargeEffectMean,SDPowerAtSmall,SDPowerAtMedium,SDPowerAtLarge,SampleMedian,FirstQuartileSampleSize,ThirdQuartileSampleSize,SampleMean,SampleSizeSD,SDSmallAlgEstFromCDT,SDMedAlgEstFromCDT,SDLargeAlgEstFromCDT,Notes,Solutions,SampleMin,SampleMax,PowerSmallMin,PowerSmallMax,PowerMedMin,PowerMedMax,PowerLargeMin,PowerLargeMax
28,99,"Mazen, Abdelmagid M., Graf, Lee A., Kellogg, Calvin E. and Hemmasi, Masoud",Statistical power in contemporary management research,Academy of Management Journal,1987,Mazen et al. (1987),NA,"""This study includ empirical research in the 1984 issues of the Academy of Management Jour nal and the Journal of Management and in the 1984 Proceedings of the Midwest Division of the Academy of Management; we chose the last to represent published research on a regional level. In keeping with previous practice, studies served as the units of analysis, and we examined only major significance tests for which power tables are available (R2""","Academy of Management Journal, Journal of Management, and Proceedings of the Midwest Division of the Academy of Management",1984,"Multiple regression, regression coefficients, F tests, t tests, correlation coefficients, cchi square and sign tests",Management / IO Psychology,"""For each test of significance, we adopted Cohen's three conventional levels of effect size-small, medium, and large. When cell sizes were unequal, we used harmonized mean functions. Also, when factorial and complex designs of analysis of variance were employed or when interaction was considered, we determined the n for the factors or interactions """,Mean power of statistical tests in each article,yes,84,7215,cohen 1977,cohen 1977,cohen 1977,cohen 1977,0.25,NA,NA,0.89,NA,NA,0.99,NA,NA,0.31,0.77,0.91,NA,NA,NA,NA,NA,NA,NA,NA,0.2328015,0.2717008,0.1996149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,44,"Sedlmeier, P. and Gigerenzer, G.",Do studies of statistical power have an effect on the power of studies?,Psychological Bulletin,1989,Sedlmeier & Gigerenzer (1989),NA,"""We decided to analyze all studies published in the 1984 volume of the Journal ofAbnormal Psychology""",Journal of Abnormal Psychology,1984,All included tests,Clinical Psychology/Psychiatry,"""J. Cohen (1962) calculated the power using articles as units, but 24 years later, articles often contain more than one experiment. We have treated different experiments within the same article as separate units ifthey used differentsamples ofsubjects.Powercalculationsweremade using two different units: articles, as in J. Cohen (1962), and experiments. For each unit, all tests were classifiedinto tests either of major or of minor hypotheses,followingJ. Cohen (1962). Then the powerof each test was calculated for small, medium, and large effect sizes; for most tests, J. Cohen's (1977) tables could be used. For all calculations, alpha was assumed to be .05 (two-tailedfor the unadjusted procedures; for the multiple comparison procedures the corresponding error rates [see, e.g., O'Neill & Wetherill, 1971] w e r e used). Nonparametric tests that occasionallyoccurred were treated like their corresponding parametric tests (e.g., Mann-Whitney U tests, Kruskal-Wallis tests, and Spearman correlations were treated like t tests, F tests, and Pearson correlations, respectively);this usuallyresults in a slightoverestimation of power(J. Cohen, 1965)""","Looked at power of major hypothesis test for each study (i.e., separate samples within an article), non-parametric tests treated as parametric alternatives",yes,54,64,cohen 1962,cohen 1962,cohen 1962,cohen 1962,0.14,0.1,0.22,0.44,0.28,0.7,0.9,0.76,0.99,0.21,0.5,0.84,0.19,0.27,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,60,"Dilullo, Linda Kay",A post hoc power analysis of inferential research examining the relationship between mathematics anxiety and mathematics performance,Dissertation Abstracts International Section A: Humanities and Social Sciences,1998,Dilullo (1998),NA,Articles listed in the July issues of Journal for Research in Mathematics Education 1976-1995,Journal for Research in Mathematics Education,1975-1994,"T tests for two means, preason product moment r, sign test, proportion is .5, differences between proportions, chi square, ANOVA, ANCOVA, multiple refression, MANOVA, MANCOVA",Education,Power tables from Cohen's (1988) Statistical Power Analysis for the Behavioural Sciences,Mean power of statistical tests in each article,yes,41,76,Cohen (nd),Cohen (nd),Cohen (nd),Cohen (nd),0.19,0.12,0.4,0.9,0.65,1,NA,NA,NA,0.3,0.81,NA,0.24,0.211,NA,111,60,283,355,116.84,NA,NA,NA,"Article found, manual calculation with their data was performed in order to obtain quantiles, sd, medians",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,75,"Whittington, C. J., Podd, J. and Kan, M. M.",Recognition memory impairment in Parkinson's disease: Power and meta-analyses,Neuropsychology,2000,"Whittington, Podd, & Kan (2000)",NA,"""All studies selected for inclusion had to be published in a peer-reviewed, English-language journal with a publication date between 1978 and 1997. To be included in the power analysis, a study had to compare the performance of people with PD to healthy control participants on a task explicitly described as measuring memory.""",articles examining recognition memory performance in those with parkinson's disease,1978-1997,t and f tests,Clinical Psychology/Psychiatry,"""Statistical power was calculated using the GPOWER computer program developed by Erdfelder, Faul, and Buchner (1996). Power can be calculated for a range of univariate test statistics, including t and F. The program calculates power using Cohen's (1988) small, medium, and large ESs as the default. However, any ES value can be entered. For each power calculation, the appropriate values for alpha, ES, and N were entered and power was then calculated by the program for 1,360 test statistics. Where a study used a particular statistic more than once (almost always the case), the mean power level was calculated separately for small, medium, and large ESs for that study.""",Mean power of statistical tests in each article,yes,46,1360,cohen's d (1988),0.2,0.5,0.8,0.16,NA,NA,0.67,NA,NA,0.94,NA,NA,0.2,0.63,0.85,0.12,0.24,0.19,NA,NA,NA,NA,NA,NA,NA,NA,"minimum and maximum levels of power for small medium and large, [.06,55] [.15,1] [.32,1]",NA,NA,NA,NA,NA,NA,NA,NA,NA
32,45,"Aguinis, H., Beaty, J. C., Boik, R. J. and Pierce, C. A.",Effect size and power in assessing moderating effects of categorical variables using multiple regression: A 30-year review,Journal of Applied Psychology,2005,Aguinis et al. (2005),NA,"""The criteria for including studies in the review were as follows: (a) at least one MMR analysis was included as part of the study, (b) the MMR analysisincluded a continuous criterion, (c) the MMR analysis included a continuous predictor, and (d) the MMR analysis included a categorical moderator""","Journal of Applied Psychology, Personnel Psychology, and Academy of Management Journal",1977-1998,"""moderating effects of categorical variables as assessed using multiple regression""",Management / IO Psychology,"""Therefore, in the present study we used the Aguinis et al. (2001) theorem to compute power corresponding to a range of f 2 values.""",NA,yes,106,261,cohen 1988 f^2,0.02,0.15,0.35,0.84,NA,NA,0.98,NA,NA,1,NA,NA,0.84,0.98,0.99,0.21,0.1,0.02,158,NA,NA,378,548,NA,NA,NA,"Standardised effect size benchmarks are likely to be a vast overestimate of expectable effect sizes for moderation, from the article ""Our results show that the median effect size is .002. And, the effect size “bandwidth” is uniformly narrow and around .002 for the areas of personnel selection and work attitudes and for tests including the moderating effect of gender and ethnicity. Also, computations of the moderating effect size based on error-free measures increased the size of the median moderating effect by only .001.""",NA,NA,NA,NA,NA,NA,NA,NA,NA
33,71,"Kazantzis, N.",Power to detect homework effects in psychotherapy outcome research,Journal of Consulting and Clinical Psychology,2000,Kazantzis (2000),NA,"""Published articles that reported analysis of homework effects in psycho- therapy were located (a) by means of searches in the PsycLIT and PsyclNFO databases from 1980 though 1998 as well as (b) from the reference sections of relevantjournal articles and books. The terms behav- ioral practice, extratherapy, extratreatment, home practice, homework, and self-help assignments were used as text words in the searches of electronic databases. The rationale for not including studies published before 1980 was that they did not benefit from the work by Beck et al. (1979) on cognitive therapy of depression. The majority of outpatient treatment studies before 1980 omitted the assessment of client adherence with homework assignments (Kazantzis & Deane, 1998), a key emphasis of Beck et al.'s cognitive therapy.
As a result of the two searches described, a total of 719 homework- related studies were identified. The principal criterion for inclusion was whether the study had quantitatively assessed the relationship between homework and treatment outcome assessed at termination. Using this criterion, I excluded the majority of the selected studies, as they had only incorporated homework as a component of the treatment protocol but did not involve an examination of homework-related effects on outcome. Consequently, only 31 studies of the 719 studies identified in the searches were initially selected and considered for inclusion in the power analysis.""",studies examining the relationship between homework effects and clinical depression. Diverse Journals,1980-1998,t tests and ANOVAs,Clinical Psychology/Psychiatry,"""Statistical power was calculated based on samples sizes and Cohen's (1988) power tables and ES conventions, together with a computer pro- gram designed to calculate statistical power (Erdfelder, Faul, & Buchner, 1996). Statistical power was calculated separately for small, medium, and large ESs (Gillett, 1994). Alpha was set at .05 for all the power estimations. Power was not computed for those studies in which sufficient statistical information could not be determined (Kornblith et al., 1983; Michelson, Mavissakalian, Marchione, Dancu, & Greenwald, 1986) or in which non- parametric techniques (Fennell & Teasdale, 1987) or Tobit analyse~ (Per- sons et al., 1988) were used to examine homework effects. Thus, power was calculated for the remaining 27 articles examining the effects of homework assignments in psychotherapy.""",Mean power of statistical tests in each article,yes,27,32,cohen 1988,cohen 1988,cohen 1988,cohen 1988,0.09,0.075,0.13,0.37,0.225,0.61,0.76,0.515,0.945,0.11,0.44,0.71,0.07,0.28,0.27,34,21.5,55.5,48.56,44.45,NA,NA,NA,"explicitly performed to assess an underpowered area of research, Raw data extracted to caculate quantiles for sample size and effect sizes",NA,NA,NA,NA,NA,NA,NA,NA,NA
34,67,"Brown, J. and Hale, M. S.",The power of statistical studies in consultation-liaison psychiatry,Psychosomatics,1992,Brown & Hale (1992),NA,"""An examination of the empirical research published in Psychosomatics during 1989 was conducted to determine the mean statistical power of each investigation""","Psychonomics, 1989",1989,"""Statistical tests reported in these studies were classified as being either central to hypotheses being tested by the research or peripheral to these hypotheses. Since much of the research was exploratory in nature. the vast majority of statistical tests were classified as being central to the articles. The power of all reported analyses, excluding approximately 130, was calculated based upon the number of subjects in each comparison and assuming an alpha level of 0.05 and universal use of nondirectional tests.""",Clinical Psychology/Psychiatry,""" Finally, the mean power of all tests performed in each study was calculated for each of the three possible effect sizes.""",Mean power of statistical tests in each article,unclear,24,962,cohen 1977,cohen 1977,cohen 1977,cohen 1977,0.115,0.8,0.25,0.51,0.32,0.832,0.908,0.199,0.729,0.195,0.6,0.839,0.196,0.286,0.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,68,"Tomcho, Thomas J. and Foels, Rob",The power of teaching activities: Statistical and methodological recommendations,Teaching of Psychology,2009,"Tomcho, Thomas & Foels (2009)",NA,"""We identified ToP teaching activity and methods studies from 1974 through 2006 in which researchers (a) reported statistical significance test results, (b) reported sample size data, and (c) employed a commonly used significance test from which we could calculate power (see Cohen, 1988).""",Teaching of Psychology,1974-2006,"Chi square, t tests (independent and dependent samples), correlations",Education,"""We used Borenstein et al.’s (2001) Power and Precision software to calculate power estimates. We assumed a two tailed hypothesis test for all studies.""",Mean power of statistical tests in each article,yes,193,497,cohen 1988,cohen 1988,cohen 1988,cohen 1988,0.1,0.06,0.17,0.52,0.31,0.77,0.92,0.72,0.99,0.14,0.53,0.81,0.13,0.28,0.23,63,34,111,79.1,75.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,88,"Kosciulek, John F. and Szymanski, Edna M.",Statistical power analysis of rehabilitation counseling research,Rehabilitation Counseling Bulletin,1993,Kosciulek & Szymanski (1993),NA,"""A survey of research articles published in professional journals containing the majority of rehabilitation counseling research was conducted. The following volumes were examined: (a) Rehabilitation Counseling Bulletin, volume 34,1990-1991; (b) Rehabilitation Psychology, Volume 35,1990; (c) Journal of Applied Rehabilitation Counseling; and (e) Rehabilitation Education, Volume 4, 1990. Of the 150 articles examined, 32 contained statistical tests that could be power analyzed.""","Rehabilitation Counseling Bulletin, Rehabilitation Psychology, Journal of Applied Rehabilitation Counseling, Rehabilitation Education",1990-1991,"All two group comparisons, correlations, but not ""nonparametric and multivariate procedures, which had not been analyzed in the Cohen-type studies, were not included.""",Clinical Psychology/Psychiatry,"""Each of the statistical tests was power analyzed using Borenstein and Cohen's (1988), statistical power analysis computer program. The power of each test was calculated for small, medium, and large effects. Alpha levels of .05 were assumed for all tests. The mean power of the statistical tests were established at the three levels of effect size for each research study.""",Mean power of statistical tests in each article,yes,32,NA,cohen 1988,cohen 1988,cohen 1988,cohen 1988,0.13,0.11,0.19,0.59,0.53,0.82,0.97,0.89,0.99,0.15,0.63,0.9,0.07,0.19,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,59,"Mone, M. A., Mueller, G. C. and Mauland, W.",The perceptions and usage of statistical power in applied psychology and management research,Personnel Psychology,1996,"Mone, Mueller, & Mauland (1996)",NA,"""Article selection. To assess the current level of statistical power in management research, we examined empirical articles in seven leading management journals, including Academy of Management Journal, Administrative Science Quarterly, Journal of Applied Psychology, Journal of Management, OrganizationalBehavior and Human Decision Processes, Personnel Psychology, and Strategic Management Journal. These journals fairly equally represent the research in micro (e.g.,JAP,PP),macro (e.g., AS&, SMJ), and mid-range (e.g.,AMJ, JOM, OBHDP) areas of management. In addition, the leading status of these journals has been well documented in past research (e.g., Coe & Weinstock, 1984;Extejt & Smith, 1990;Johnson & Podsakoff, 1994). For each journal, we randomly selected 10 articles per volume from the most recent, complete 3 years (1992-1994). This resulted in a total of 210 articles selected (3 years x 10 articles x 7 journals). These articles represent approximately 18% of all articles published in the seven journals over these 3years, and include 26,471statistical tests. Like past power research (e.g., Mazen et al., 1987a), this number of tests includes all T Sin correlation matrices. The articles were screened to include only those containing statistical tests for which retrospective power analyses could be conducted. By a considerable margin, our selection of the 3 most recent years’ articles covers more years, more journals, and more statistical tests than any previously published assessment of power in management studies""","""Academy of Management Journal, Administrative Science Quarterly, Journal of Applied Psychology, Journal of Management, OrganizationalBehavior and Human Decision Processes, Personnel Psychology, and Strategic Management Journal",1992-1994,"correlation, multiple regression, ANOVA, t test, and chi-square",Management / IO Psychology,"""Cohen’s (1988) power analysis tables and formulae were used to compute statistical power"" ""we omitted secondary tests like manipulation checks and peripheral reliability estimates.""",Mean power of statistical tests in each article,Yes,210,26471,cohen 1988,cohen 1988,cohen 1988,cohen 1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.74,0.92,NA,NA,NA,NA,NA,NA,NA,NA,0.2472399,0.2476749,0.1364398,NA,"""To remedy the lowpower that existsin management journals, we recommend several actions. First, journal editors, reviewers, and other gatekeepers could make more explicit the need to conduct and report power analyses. In instanceswhere statistically nonsignificant results appear, it should be stressed that post-hoc power analyses should reach or exceed the conventional .80 level. Without such power levels, researchers have not given their null hypotheses a fair chance of being rejected and, consequently, spuriously negative results are more likely to occur. From the few (14) articles in our sample of 210 reporting the use of power analyses, 5 used post-hoc power analyses to adjust alpha levels or to explain their nonsignificant findings (e.g., Collins, Hatcher, & Ross, 1993;Cortina, Doherty, Schmitt, Kaufman, & Smith, 1992). More research would seemingly benefit from such practice. Second, more emphases need to he placed by both editorial gatekeepers and researchers on the role of effect sizes, and less on the single criterion of statistical significance (a,or p ) , for judging the findings of results. A number of researchers, including Cohen (1988,1992), HunterM A R K A. MONE ET AL. 117 and Schmidt (1990), Lykken (1968), and Rosenthal (1991) have articulated the advantagesof reporting and evaluating effect sizesin research. In short, the reporting of effect sizes allows results to be evaluated in terms of their practical significance and increases the likelihood that effects (i-e., magnitude of a phenomenon in a population or impact of independent variables) can be compared across studies. The reporting of effect sizes therefore increases the replicability of research streams and the ability to aggregate effect sizes through meta-analyses. However, neither replication nor meta-analyses negate the need for individual researchers to fully utilize statistical power analyses. Indeed, statistically underpowered research may never overcome what Rosenthal(l979) described as the “file drawer problem,” meaning that due to a field’s obsession with statisticalsignificance, a study’snonsignificant findings may relegate it to terminal existencein a file drawer. Finally, researchers should realize that they have everything to gain, and little to lose, by examining the statistical power in their research more carefully. Perhaps by more clearly recognizing the consequences of low power, researchers will see the personal (e.g., economic, efficiency) gains and the potential impact on the advancement of knowledge. Likewise,greater sensitivityto the squandered time, effort, and financial resources devoted to unnecessarily large data collections should provide further incentive to investigate appropriate power before conducting research. Over a dozen microcomputer software packages now exist for computing power in both planning and retrospective analysis formats (for a review, see Goldstein, 1989). Cohen’s (1988) manual on power analysis, complete with straightforward tables for almost all statistical tests, is both comprehensive and easy to use. Other hands-on sources for power analysis, generally based on Cohen’s work, include Kraemer and Thiemann (1987), Lipsey (1990), and Rosenthal and Rosnow (1991)"" P 117-118. ""As another suggestion, more sensitive research designs can be employed (e.g., blocking, covariates, within-subject designs) to reduce unexplained error (Greenwald, 1976;Rosenthal & Rosnow, 1991). Finally, more powerful statistical techniques (e.g., factorial, repeated measures, combined predictors, non-parametric statistics) and adjustments to alpha can be used (Cascio & Zedeck, 1983;Collinset al., 1993; Sawyer & Ball, 1981). Cascio and Zedeck (1983), for example, provide detailed treatment of how to adjust alpha (Type I error risk) to reduce Type I1errors, identifymg circumstances (e.g., fixed sample, anticipated effect size identified) when it is appropriate to adjust alpha to maximize statistical power"" p 118",NA,NA,NA,NA,NA,NA,NA,NA
38,40,"ClarkCarter, D.",The account taken of statistical power in research published in the British Journal of Psychology,British Journal of Psychology,1997,Clark-Carter (1997),NA,"""Each paper in the 1993 and 1994 volumes of the British Journal of Psychology, the two latest complete volumes available at the time of the analysis, was read for a number of details. … First, it was evaluated to see whether it reported the results of original quantitative research, where the choice of sample size had an effect on the power of the tests employed""",British Journal of Psychology,1993-1994,"t tests, Pearson's r, partial correlarions, chi square tests, and F tests, parametric alternatives used",General Psychology,"""For each paper which was deemed to be amenable to power analysis, the analysis was conducted by identifying the design, the sample size, the statistical test employed and, where appropriate and given, whether the test was of a directional or non-directional hypothesis. The results of statistical tests (inferential statements) were classified according to whether they were relevant to the hypotheses being explored in the paper or were subsidiary results. Many papers did not give precise hypotheses, preferring to use terms such as ‘investigates the effects of’. An example of an inferential statement which was not considered to be directly relevant to an hypothesis would be an interaction in a multi-way ANOVA which had not been identified explicitly as relevant to the research. In addition, the area of psychology covered by each paper and the nature of the participants used in the research were noted. The relevant small, medium and large effect sizes suggested by Cohen (1988) for the given test were then noted and the power was calculated for each of these effect sizes for each inferential statement reported in each paper, given the sample size which was employed in the study. 1. Where exact figures were not given by Cohen, appropriate interpolation was used. 2. Where a within-subjects design was employed in t tests and ANOVA and where ANCOVA was used the correlation was assumed to be .5 as recommended by Cohen (1988) and Lipsey (1990). 3. Where a between-subjects design was employed and the individual subsamples were not given, the subsamples were treated as equal; this has the effect of assuming the maximum power for the given sample size. 4. In those instances where the authors did not specify whether they had employed a one- or a twotailed significance test, a two-tailed test was assumed. Few papers gave the direction of the test. 5. Where no alpha level was mentioned it was assumed to be p < .05. In fact, on the rare occasions when an alpha level was given, in all but one case it was at p < .05. In the one exception it was set at p < .01 to allow for the large number of statistical tests employed. 6. In the case of the Mann-Whitney U test an adjustment to the effect size, provided by Singer, Lovie & Lovie (1986), was made and Cohen’s tables were then utilized. 7. In the case of Spearman’s rho, power values provided by Kraemer & Thiemann (1987) were used where available, otherwise those for Pearson’s r were used; once again this inflates the power estimate. Only seven Spearman’s rhos were involved in this analysis. 8. Kruskal-Wallis tests were treated as one-way, between subjects parametric ANOVAs, which also has the effect of inflating the power estimates. Only three Kruskal-Wallis tests were analysed. 9. Meddis (1984) notes that Fisher’s Exact Probability Test should only be employed when the marginal totals for the frequency table are fixed and that when they are not power is low. One paper employed this test and did so with one set of marginal totals free. This test was not included in the analysis. 10. One paper reported the results of logistic regression. Power calculations were not made for this test. 11. Planned andpost hot analyses which followed an ANOVA, such as pairwise comparisons of means, were not included. As Sedlmeier & Gigerenzer (1989) note, the use ofpost hoc tests, which adjust alpha levels, reduces power and so their exclusion from this study once again inflates the power reported in this analysis.""",Statistical tests,yes (parametric alternatives used),54,1090,cohen 1988,cohen 1988,cohen 1988,cohen 1988,0.14,NA,NA,0.62,NA,NA,0.87,NA,NA,0.2,0.6,0.82,0.19,0.26,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Possible soltltions: It is likely that this state of affairs will continue unless journal editors, lecturers on research methods and the writers of statistics books for researchers adopt a different policy. Introductory texts on research design and statistics for behavioural scientistsStatistical power in research published in the BJP 81 routinely mention Type I1 errors. However, they often simply note the dangers and suggest rules of thumb for avoiding such an error, such as using a large sample. This approach does not appear to be having an effect on the majority of researchers. An absence of power analysis during the design stage of a piece of research can lead to the use either of low power or of unnecessarily large samples; one study reported some analyses based on over 9000 participants. The consequence of the latter situation is that given a sufficiently large sample, even exceedingly small effect sizes are likely to be shown as statistically significant."" p 80-81. ... ""he problem of the mathematical nature of power calculation could be solved if power tables in textbooks could be presented for each test rather than the use of general power tables. It would greatly facilitate the estimation of the size of sample which would be required to yield a given level of power. The estimation of sample size has been further simplifiedby Cohen’s having published a computer program for the purpose (Borenstein 8t Cohen, 1988). Journal editors could also help to change practice by stating that they expect authors to explain their choice of sample size in terms of the power of their tests and to report the actual power and effect size in their results.""",NA,NA,0.02,0.93,0.12,1,0.24,1
39,96,"Cashen, L. H. and Geiger, S. W.",Statistical power and the testing of null hypotheses: A review of contemporary management research and recommendations for future studies,Organizational Research Methods,2004,"Cashen, Geiger (2004)",NA,"""To assess the level of statistical power in studies proposing null hypotheses, we reviewed five major journals that published management research over the 10-year period of January 1990 to December 1999""","Academy of Management Journal, Administrative Science Quarterly, Strategic Management Journal, Journal of Management, and Journal of Management Studies",1990-1999,"All direct tests (i.e., not interactions effects)",Management / IO Psychology,"""To remain consistent with previous power assessments, we determined power for each null hypothesis statistical test reported in the articles providing that it was a major statistical test for which Cohen’s (1977) power analysis tables and formulae were available (i.e., R2, ß, F, t, r, and p). All studies in this sample used parametric tests; thus the use of equivalent parametric tests in lieu of nonparametric tests was not necessary as it has been in previous power assessment articles (e.g., Sedlmeier & Gigerenzer, 1989). In addition, following Mazen, Graf, et al. (1987) and Mone et al. (1996), we omitted secondary tests such as manipulation checks and peripheral reliability estimates.""",test level,yes,43,77,cohen 1977,cohen 1977,cohen 1977,cohen 1977,0.22,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3251309,NA,NA,States that using the unit of analysis of the article did not impact the outcome (say analysis = .293 vs. article = .290 at small benchmark),NA,NA,NA,NA,NA,NA,NA,NA,NA
40,124,"Borkowski, Susan C. Mary Jeanne Welsh and Zhang, Qinke",An Analysis of Statistical Power in Behavioral Accounting Research.,Behavioral Research in Accounting,2001,"Borkowski, Welsh & Zhang (2001)",NA,Each study reporting analysable statistics,Issues in Accounting Education,1993-1997,"The studies includes all regaular and supplemental issues of issues in accounting education, behavioural research in a ccounting and jounral of management accouting research",Education,"""cases were evaluated for statistical power using Cohen's 1988 standard power tables""",Mean power of statistical tests in each article,yes,96,1782,cohen 1992,cohen 1992,cohen 1992,cohen 1992,0.15,NA,NA,0.69,NA,NA,0.78,NA,NA,0.23,0.71,0.93,NA,NA,NA,NA,NA,NA,NA,NA,0.146394,0.2219286,0.1316439,NA,"""power analysis can be a useful tool in research design"" ""if power is unaccestably low for all effect sizes, then perhaps the study could be redsinged using a stronger statistical tests""",NA,NA,NA,NA,NA,NA,NA,NA
41,104,"Maddock, J. E. and Rossi, J. S.",Statistical power of articles published in three health psychology-related journals,Health Psychology,2001,Maddock & Rossi (2001),NA,"""All of the articles published in the 1997 Volume of the Journals HP, AB and JSA were examined, and only articles containing statistical tests in which power could be computed were selected""","Health psychology, Addictive Behaviours, the Journal of Studies on Alcohol",1997,"""Major tests are based directly on the research hypothesis of the study, whereas peripheral tests are not. Periferal tests were not included. Examination of major tests was limited to the tests included in Cohen's (1988) power handbook plus the multivariate analysis of variance""",Clinical Psychology/Psychiatry,"""Power was calculated from Cohen's 1988 tables and from computer programs designed to assess power (Rossi, 1990). Once the power was computed for each test the results were combined to assess the average power for each study. … When doing this the unit of analysis was the article, because the number of tests in each artucle was found to vary widely""",Mean power of statistical tests in each article,yes,187,8266,cohen 1988,cohen 1988,cohen 1988,cohen 1988,0.22,NA,NA,0.86,NA,NA,0.99,NA,NA,0.36,0.77,0.92,0.3,0.26,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,92,"Okumura, Y. and Sakamoto, S.",Statistical power and effect sizes of depression research in Japan,Psychiatry and Clinical Neurosciences,2011,Okumura & Sakamoto (2011),NA,"""Data for the present study were collected as a part of a systematic review conducted in 2007. The main theme of the systematic review was to evaluate the methods used for depression research in Japan. Details of this project have been reported elsewhere.20 We identified the leading journals of psychiatry and psychology in Japan (Table 2). We selected 18 leading journals that met the following criteria: (i) the journal title included one of the terms ‘psychiat*’, ‘psycho*’, or ‘counseling’; and (ii) more than 100 Japanese libraries subscribed to it in July 2007. Next, as Japanese reference databases were still underdeveloped, we manually searched all of the articles in the 18 journals published between January 1990 and December 2006. We identified 974 depression studies mentioned in 935 articles that met the following criteria: (i) words such as ‘depress*’, ‘dysphoria’, ‘mood disorder’, or ‘bipolar disorder’, were used in the title, abstract, or key words; or (ii) any statement on depression scales was written in the Methods section; and (iii) it was an Original Article or Short Report. We used a broader definition of ‘depression’ rather than the DSM-defined major depression because some studies have questioned the current categorical split of mood disorders into bipolar and depressive disorders,21 and the boundaries that separate depressive disorders from normality.22 In addition, we excluded experimental studies and case studies from the statistical power and sample effect sizes computations to maximize the interpretability of the results""","""Clinical Psychiatry, Japanese Journal of Child and Adolescent Psychiatry, Japanese Journal of Clinical Psychiatry, Japanese Journal of Counseling Science, Japanese Journal of Developmental Psychology, Japanese Journal of Educational Psychology, Japanese Journal of Experimental Social Psychology, Japanese Journal of Geriatric Psychiatry, Japanese Journal of Psychiatric Nursing, Japanese Journal of Psychiatric Treatment, Japanese Journal of Psycho-analysis, Japanese Journal of Psychology, Japanese Journal of Psychotherapy, Japanese Journal of Social Psychology, Japanese Society of Psychosomatic Medicine, Journal of Japanese Clinical Psychology, Psychiatria et Neurologia Japonica, Psychiatria et Neurologia Paediatrica Japonica""",1990-2006,"independent samples t-test, correlation, chi square-test, factorial ANOVA, and multiple regression analysis",Clinical Psychology/Psychiatry,"""To calculate the statistical power for independent t-test, correlation, c2-test, factorial ANOVA, and multiple regression analysis, we abstracted the types of statistical tests, sample sizes, and degrees of freedom. To estimate the statistical power, we followed the procedures in previous statistical power surveys.15,19,34 First, Cohen’s definitions of small, medium, and large population effect sizes were adopted (Table 1).5 Second, a two-tailed significance level (a) was held at a uniform value of 0.05 for all statistical tests. Third, the reported sample size for each statistical test was used. Then, the statistical power for each statistical test was calculated with the above specifications on what was deemed to be the non-redundant statistical test. To estimate the statistical power, we used the computation procedures described by Cohen.4 Once the statistical power was computed for each statistical test, the average statistical power values for detecting small, medium, and large population effect sizes were calculated for each study""","Looked at mean power of study (i.e., separate samples within an article)",yes,311,311,cohen 1988,cohen 1988,cohen 1988,cohen 1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.71,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
